grant_ID_with_letters,amount_requested,approval_route,board_approval_date,concept_summary,project_summary,project_title,fip_title,grant_officer,state,status,,,,
G-2205-20,39459,Next Approval Cycle,2023-01-04,"Enrique Maurtua Konstantinidis will act as ICPH's Argentina lead, with a particular focus on G20 and IMO work. This involves regularly gathering and sharing intelligence with the ICPH, and sharing strategy updates, insights and advice as well as developing and maintaining connection with key in-country climate change influencers. In exchange, the ICPH will support the development and delivery of the national lead’s political strategy with the network’s support.",to contribute with key information on G20 negotiations from Argentina perspective and engage in coordination within the International Climate Politics (ICP) Hub network.,0,ICPH Argentina Lead,Morgan Lee,closed,managed,,,,
G-2205-21,121956,Next Approval Cycle,2023-04-01,"EU climate policies’ heavy reliance on food-based biofuels is responsible for environmental degradation and threatens food security both at the EU level and globally. Building on Oxfam’s expertise and profile on climate and food security, Oxfam EU will produce an impactful narrative and case studies on the impacts of bioenergy policies on food security and land globally through briefings, media and social media products. Oxfam will work with allies to deliver a forceful civil society response to unsustainable bioenergy lobbies’ opportunistic attacks and will coordinate an advocacy strategy towards key EU decision-making institutions. This project will contribute to fill the lack of strong advocacy and communications at the Eu level on the bioenergy-food security nexus. By highlight the impacts of current bioenergy policies on climate, biodiversity and deprived people, this grant will eventually contribute to the broader Target True Zero campaign’s objective of undermining the current public narrative around bioenergy as a good solution for decarbonization.",to prevent the adoption of EU climate and energy policies in response to the Ukraine crisis that will increase the EU’s land use for bioenergy and aggravate the current global food crisis.,Biofuels & Food security.,0,Alex Johnson,granted,managed,,,,
G-2205-22,31223,Next Approval Cycle,2022-02-01,"Fair Charge will continue to campaign for lower taxes on public EV charging, and more and better EV charging generally, especially in rural areas. They will also support efforts to secure a ZEV Mandate and to constructively move forward the discussion on road pricing. In support of these goals, they will continue growing their base of public and parliamentary supporters.",to accelerate the electrification of road transport to ensure we meet our climate targets and that all in society can access zero-emission driving.,0,Fair Charge,Jamie Smith,closed,managed,,,,
G-2205-23,75036,Next Approval Cycle,2022-03-11,"FIAN International seeks to support and complement the ongoing work of Just Finance International (JFI - G-2204-63804) in the Western Balkans through the lens and tools of human rights. In particular, FIAN's work in the areas of monitoring of states' human rights obligations, their human rights accountability and the ongoing efforts at the UN Human Rights Council (HRC) to regulate – in international human rights law – the activities of transnational corporations and other business enterprises will be key. All activities will be based on a human rights analysis – also clearly indicating to what extent different involved countries have extraterritorial human rights obligations towards people in Bosnia and Herzegovina, Montenegro, and Serbia. The grant objective is to support these communities affected by the negative impacts of coal power projects to realize their human right to a clean, safe and healthy environment and related human rights and to mitigate climate change and loss of biodiversity.","to support communities of Bosnia and Herzegovina, Montenegro, and Serbia affected by the negative impacts of coal power projects to realize their human right to a clean, safe and healthy environment and related human rights and to mitigate climate change and loss of biodiversity.",Supporting WB communities in addressing coal-related human rights violations,0,Pat Taylor,closed,managed,,,,
G-2205-24,35412,Next Approval Cycle,2022-10-24,"Following the municipal elections, the positive consideration for climate issue and the mobilization of citizens have decreased. In line with ECF’s strategy to address a wider audience and to mobilize at the local level, Alternatiba France will reinforce its support to local groups (through Alternatives Territoriales) and strengthen its communication in the territories. Considering legislative elections in June and mid-terms elections for Mayors next year, this is a good opportunity to reinforce climate topics in several cities.","to reinforce citizen's mobilization for an ecological and social transition, through campaign, citizen's gatherings and training",strengthen citizen's mobilisation in regions for ecological and social transition,0,Jamie Smith,granted,managed,,,,
G-2205-25,206950,Next Approval Cycle,2023-09-20,"Foster the required increased climate action and the energy transition by raising the overall ambition for energy efficiency, putting Europe's buildings on track and decarbonising Europe’s heating systems.","to foster the required increased climate action and the energy transition by raising the overall ambition for energy efficiency, putting Europe's buildings on track and
decarbonising Europe’s heating systems","Heating, energy efficiency and buildings",0,Jordan Davis,closed,managed,,,,
G-2205-26,19044,Direct Board Authority (Over 750k),2022-03-22,"France is an influential Member State for the development of electro-mobility in Europe. Last year we supported the creation and development of a French multi-stakeholder platform to foster and secure mobility transition. The mobility platform developed two programs one on the evaluation of the French fiscal incentive mechanism and the second on LEZs implementations & impacts. This grant will support the future think tank “Mobility in Transition Institute” that will become independent from IDDRI and give them the capacity to do advocacy at the national level but also at the European level. The major projects that will be led by the Mobility platform are a social lease project, a study on the biogas role in mobility transition, the creation of a last-miles delivery platform and work on heavy trucks decarbonisation. The platform will as well work on CO2 standard for trucks renegotiation and disseminate and update programs 1 & 2 from the previous year.",to continue the work of the French multi-stakeholder platform to foster a sustainable and efficient electro-mobility deployment,French electro-mobility platform 22,0,Morgan Lee,closed,managed,,,,
G-2205-27,290411,Next Approval Cycle,2022-01-11,"Fraunhofer IEE is a well-known German research institute. Their research focus is on energy infrastructure, hydrogen, and energy efficiency. We commissioned a study on hydrogen blending with them, to inform the debate around the Gas Package on EU-level. The Gas Package was published mid-December 2021. In the Gas Package, the Commission proposed a 5 % blending cap at cross-border points. This blending cap needs to be further limited to prevent untargeted hydrogen use. The results of the study will be presented in a webinar and provided to key decision-makers on EU-level. This grant will be used to further inform the European discussions and to accompany the ongoing debates around the Hydrogen and Decarbonised Gas Market Regulation and Directive. This grant will contribute to the objectives under the ECF’s gas strategy to stop the expansion of new gas infrastructure in the short term and to re-frame the dominant narrative around the role of gas in the transition.",to analyse the technical and economic aspects of blending hydrogen into the gas grid,0,Gas Market Regulation,Pat Taylor,closed,managed,,,,
G-2205-28,94846,Next Approval Cycle,2023-02-11,Fraunhofer ISI is a known German research institute. Their work focuses on technical analyses of machinery and molecules. ECF commissioned a study with them to examine the practicability of retrofitting LNG terminals to hydrogen terminals. This grant will be used to further inform the European discussions around “hydrogen ready” and to accompany the ongoing debates of grantees. This grant will contribute to the objectives under the ECF’s gas strategy to re-frame the dominant narrative around the role of gas in the transition.,to analyse the technical and economic feasibility of retrofitting LNG terminals for LH2 and NH3.,0,Retrofitting of LNG terminals for climate neutral energy carriers,Jamie Smith,closed,managed,,,,
G-2205-29,237470,Next Approval Cycle,2022-12-31,"German media, especially broadcast media, is constantly looking for interesting stories and characters to be featured along current events. Still, despite being ambitious in press and media work, successful climate campaigns from Fridays for Future and beyond struggle to reach primetime news coverage. “Aktivistinnenagentur” aims to fill this gap by doing media trainings for key climate movement leaders and other new and unusual voices as well as pitching and booking them directly to mainstream media outlet. This grant will help to scale the visibility and diversity frontline climate movement leaders in Germany’s radio, tv and print media on the local, regional and national level.","to substantially boost primetime and high profile mainstream media presence for frontline movement leaders and civil society individuals demanding urgent climate action, thus building momentum pushing for progressive climate policy.",Media support for frontline movement leaders,0,Morgan Lee,closed,managed,,,,
G-2205-30,93814,Next Approval Cycle,2022-07-06,"Given the increased workload of the Spain programme, this DPE is dedicated to increasing the workforce in the strategic communications department through the hiring of an experienced consultant in the fields of journalism and media relations",to support on developing and implementing a media & stakeholder relations plan for ECF Spain.,0,ECF Spain press relations activity,Pat Taylor,closed,closed,,,,
G-2205-31,68494,Next Approval Cycle,2023-04-02,"Global Witness will be a key grantee in the Programme's response to the Russian invasion of Ukraine, by exposing the continued role and profits of the oil (and gas) industry in funding the war as well as highlighting the role of fossil fuel demand destruction in securing energy security and climate goals for Europe.",to undermine the legitimacy and credibility of the oil industry in Europe through exposing their links to the Russian state to accelerate the transition to renewable energy.,Russian Oil,0,Jordan Davis,closed,managed,,,,
G-2205-32,122756,Next Approval Cycle,2022-12-29,Grant number DG-2011-61230 aims to assess the role of gas and storage in the electricity systems of South East Europe and is almost completed. During project implementation the war in Ukraine has resulted in efforts to reduce Europe's dependency on Russian gas. The analysis conducted under DG-2011-61230 therefore needs to be complemented by information on how the modelled scenarios impact dependence on Russian gas.,to reflect recent political developments in on Russian gas in analysis conducted for ECF,0,gas add-on,Jordan Davis,closed,managed,,,,
G-2205-33,145421,Next Approval Cycle,2023-12-29,"Hope! En pie por el planeta” is a communication project around climate and ecological emergency based in Madrid. It was launched by Javier Peña, a climate activist, in november 2018 creating short videos in Facebook, which rapidly went viral, reaching 500 million views in Facebook and Instagram and 1.5 million followers, becoming, in 2020 and 2021, the environmental Facebook page with more views and reactions in the world. This grant aims to suppor the activity of this channel by aligining topics, messages and audiences with the strategy of the Spain ECF programme, thus serving as a potentially crucial tool to access wider population and gaining support for a stronger, wider climate action.",to create high impact videos to gain popular support for a stronger climate action in Spain,"High-impact videos access wider population and gaining support for a stronger, wider climate action in Spain",0,Jamie Smith,granted,managed,,,,
G-2205-34,5319,Next Approval Cycle,2023-07-21,"ICPH has launched a new Working Group (WG) on Adaptation and Loss and Damage. Maria de Pilar Bueno will be contracted to co-lead the Working Group with two other Global Team members from the Global South to take forward this work.

This will help to ensure that adaptation and loss and damage remain priorities in the UNFCCC and beyond and to influence key moments in 2022. The WG will promote understanding and achievement of the Global Goal on Adaptation in the context of the first Global Stocktake; promote establishment of the Loss and Damage Facility and contribute to the development of the institutional arrangements of the Santiago Network; foster understanding and coherence of the adaptation and loss and damage agendas in international fora; and promote the inclusion of loss and damage and adaption concerns and needs of developing countries in climate finance.

She will also contribute to work on green finance and green bonds as will as bringing the Argentinian perspective to ICPH conversations.","to support the production of specific information for decision makers within the ICPH framework, the coordination of efforts in the ICP Global Team, including the co-leading of the Adaptation and Loss and Damage Working Group, and the active participation in other groups such as finance, among others.",0,ICPH Adapatation/Loss & Damage WG Co-Lead,Jamie Smith,closed,managed,,,,
G-2205-35,181220,Next Approval Cycle,2023-02-08,"In light of the Fit for 55 package and REPowerEU, Romania has to scale up its efforts to decarbonise its energy sector. This involves phasing out coal and significantly upscaling investment in renewables. A number of activities are needed to increase confidence in the feasibility of transitioning to a zero carbon power system and enabling the needed investment in renewables. The project will provide input on how the transition to a zero carbon energy system can be implemented, and what role renewables, storage and hydrogen play. It will also mobilise relevant stakeholders.",to accelerate fossil fuel phase-out in the Romanian power sector by 2030,fossil fuel phase-out in Romania by 2030,0,Jordan Davis,granted,managed,,,,
G-2205-36,73825,Next Approval Cycle,2024-03-10,"Indoor air pollution needs to be addressed in a more coherent way at the European level. While the EU outdoor air quality policy framework is well-structured, EU legislation covering indoor air quality is fragmented, and consequently is not fully recognised as a health risk, despite people spending over 90 percent of their time indoors. This project has the goal to embed indoor air quality and sources of indoor air pollution more firmly in the health conversation on housing as a socio-environmental determinant of health with particular attention given to the harmful effects of NOx/ gas cooking. In this context, the project aims to create a knowledge base on the subject, mobilise the health community to inform on the dangers of gas cooking as well as mobilise public support.","to mobilise the health community and raise awareness on the health and climate dangers of poor indoor air quality and particularly cooking with gas, and to have this reflected in ongoing policy discussions at the EU level, with the final goal of phasing out gas cooking in Europe",Indoor Air Quality,0,Jordan Davis,closed,managed,,,,
G-2205-37,83498,Next Approval Cycle,2022-11-11,"Investment in new wind power generation has been effectively outlawed in Hungary since 2016, through the requirement of a 12 km setback distance, which is unfulfillable. At the same time, the Fit for 55 targets, as well as the need to scale back reliance on Russian natural gas imports makes wind a necessary component of the Hungarian energy system. The project aims to dispel negative myths related to wind energy and to promote it as a reliable and cheap element of a sustainable energy system. The ultimate aim is to influence decision makers to lift the current ban on wind, by strengthening the arguments of proponents of wind energy.","to put pressure on Hungarian decision-makers to abolish legislative barriers to new wind power plants, to strengthen connections and knowledge sharing between proponents of wind energy, and to contribute to the modernisation of Hungarian wind energy regulation through a participatory approach",to promote wind power in HU,0,Pat Taylor,closed,managed,,,,
G-2205-38,38064,Next Approval Cycle,2022-10-02,"ISTAS will develop a report on potential job creation in all sectors related to ZE mobility in Spain beyond car industry. The report will explore bikes, ebikes, ebus, etrucks and trains sectors, according to the current trends and potential of modal shifting in Spain",to define the potential for job creation and economic activity linked to zero-emission mobility. Identify strategic policies to boost it.,Jobs in ZE Mobility,0,Jordan Davis,closed,managed,,,,
G-2205-39,140643,Next Approval Cycle,2024-02-29,"Kidical Mass will play an instrumental role in further developing the capacity and influence of voices for zero emission urban mobility in Germany. To achieve this, Kidical Mass will need to strengthen their existing network, increase their political impact and deliver concrete lasting change in urban areas.","to grow and strengthen the Kidical Mass movement and to use its grassroots energy to drive political change towards a sustainable, climate-neutral and child-friendly mobility.",Clean Cities Campaign - DE,0,Jamie Smith,granted,managed,,,,
G-2205-40,130256,Next Approval Cycle,2024-01-27,"Krakow Smog Alert (KSA) will continue their advocacy for Low Emission Zones (LEZ) in CountryX, following the success of establishing a national LEZ framework. To implement a successful model in Krakow and that can be replicated elsewhere in CountryX, KSA will need to build awareness of the general public, engage Krakow city councillors and prepare guidance that can be used by other campaigners.",to streamline the implementation of low emission zones in CountryX – work on the local and national level.,Clean Cities Campaign CountryX,0,Jamie Smith,granted,managed,,,,
G-2205-41,207994,Next Approval Cycle,2024-05-08,"Land is at the centre of multiple crises--climate, biodiversity and food security--that are usually treated separately in national and international policies. Land-related issues are becoming more important with the development of net-zero pledges for climate mitigation, many of which rely on land.

With this project, the ECF will join other funders in supporting the Land Gap Report, a high-profile publication to quantify the expected contribution of land to climate goals. It will examine the potential for nature restoration and carbon drawdown, while setting out their limits as a mitigation strategy (removals must not displace phasing out fossil-fuel emissions) and best governance practices in terms of supporting land rights of indigenous peoples and traditional communities, primary forest conservation, and sustainable agriculture.","to raise awareness of the need for multi-pronged and sustainable approaches to land in national climate strategies, based on a unique quantification of the extent of land area pledged to climate goals.",Land Gap Report.,0,Jamie Smith,closed,managed,,,,
G-2205-42,47571,Next Approval Cycle,2022-10-31,"Much greater conversation is needed on loss and damage in order to progress work on this issue. An unbranded, informal and global dialogue among progressive stakeholders both currently in government and in influential positions outside government is needed to provide a safe space where the international conversation on loss and damage can make significant progress. 

Such a space is essential to provide the opportunity for innovative thinking about concrete solutions that can contribute to addressing loss and damage (including opportunities to channel funds for addressing loss and damage) both in the context of the UNFCCC negotiations, and in other relevant global fora. 

This grant will support the time of Climate Analytics Caribbean to support this important work.","to support the Caribbean region with timely and important work on adaptation and loss and damage through linking international discussions with on-the-ground work in the Caribbean and vice versa, and also by promoting on-the ground implementation.",Track 1.5 Dialogues on Loss & Damage,0,Pat Taylor,granted,managed,,,,
G-2205-43,193754,Next Approval Cycle,2022-02-26,Mums for Lungs will continue their work to promote action on clean air and clean transport. This includes engaging on the expansion of the London ULEZ and other clean air zones in key cities like Manchester. School streets and communications also remain a priority focus.,"to raise awareness on, mobilise around, and increase support for campaigning against air pollution.",0,Clean Cities Campaign 22,Pat Taylor,closed,managed,,,,
G-2205-44,73366,Next Approval Cycle,2022-10-04,"Natuur en Milieu has been a long time partner of ECF in the Netherlands. They have been working intensively on bioenergy and this work - together with other grantees - has led to a first win on this topic. Now they are moving to focus more on BECCS, which risks to be the next bioenergy frontier on the continent, as well as focusing on the national climate governance. This last one will be important to keep the overall ambition and integrity of the Dutch climate targets high.","to prevent large scale biomass use in coal power plants, prevent legislation that stimulates BECCS, and improve the effectiveness of biomass action.
to improve the position of the Dutch government and Dutch M(E)Ps on the topics of EU rules on national climate governance.",BECCS and governance,0,Jamie Smith,closed,managed,,,,
G-2205-45,104886,Next Approval Cycle,2023-10-31,NEF will produce new analysis of the true distributional impact of energy price changes and government net zero policy. NEF's analysis will mean it can advocate for new policy proposals to make the transition as progressive as possible. This will help to ensure net zero isn’t sacrificed as a result of the current cost of living crisis or similar future shocks.,"to ensure the cost of living crisis doesn’t derail the net zero agenda, by offering clear policy pathways that distribute the costs of the transition more fairly.",Fair distribution of net zero transition costs,0,Alex Johnson,closed,managed,,,,
